ISBN,STORE,PRICE,IMG,TITLE
0140444734,Powell's,1.0,https://images-na.ssl-images-amazon.com/images/I/518-X1-WGrL._SL300_.jpg,A Confession and Other Religious Writings (Penguin Classics)
0140444734,Bookstores.com,1.0,https://images-na.ssl-images-amazon.com/images/I/518-X1-WGrL._SL300_.jpg,A Confession and Other Religious Writings (Penguin Classics)
0140444734,TextbookRush,0.1,https://images-na.ssl-images-amazon.com/images/I/518-X1-WGrL._SL300_.jpg,A Confession and Other Religious Writings (Penguin Classics)
074348763X,SellBackYourBook,0.15,https://images-na.ssl-images-amazon.com/images/I/512RoqEOWML._SL300_.jpg,Crime and Punishment (Enriched Classics)
9780385493628,Textbooks.com,2.0,https://images-na.ssl-images-amazon.com/images/I/51K8MlZIf5L._SL300_.jpg,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
9780385493628,Bookstores.com,1.94,https://images-na.ssl-images-amazon.com/images/I/51K8MlZIf5L._SL300_.jpg,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
9780385493628,BooksRun,0.39,https://images-na.ssl-images-amazon.com/images/I/51K8MlZIf5L._SL300_.jpg,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
9780385493628,SellBackYourBook,0.26,https://images-na.ssl-images-amazon.com/images/I/51K8MlZIf5L._SL300_.jpg,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
9780385493628,TextbookRush,0.1,https://images-na.ssl-images-amazon.com/images/I/51K8MlZIf5L._SL300_.jpg,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem
9780452006478,Textbooks.com,2.0,https://images-na.ssl-images-amazon.com/images/I/41Ob40fpHQL._SL300_.jpg,"Holy Bible, Revised Standard Version (Meridian)"
9780452006478,Bookstores.com,1.25,https://images-na.ssl-images-amazon.com/images/I/41Ob40fpHQL._SL300_.jpg,"Holy Bible, Revised Standard Version (Meridian)"
0312991193,SellBackYourBook,0.26,https://images-na.ssl-images-amazon.com/images/I/21VC5D5YWRL._SL300_.jpg,"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss"
080706839X,SellBackYourBook,0.12,https://images-na.ssl-images-amazon.com/images/I/51SW4FVMLzL._SL300_.jpg,Telling and Remembering: A Century of American Jewish Poetry
9780935302257,SellBackYourBook,0.15,https://images-na.ssl-images-amazon.com/images/I/41QZh%2BnCSnL._SL300_.jpg,Standards for Educational and Psychological Testing 1999
0674018214,Cash4Books,7.51,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,Buyback Express,6.87,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,SellBackYourBook,6.82,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,BooksRun,6.7,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,Textbooks.com,6.5,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,Chegg,5.4,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,Amazon,3.64,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,Powell's,2.5,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
0674018214,ValoreBooks,1.16,https://images-na.ssl-images-amazon.com/images/I/51pVZxwyLBL._SL300_.jpg,American Apartheid: Segregation and the Making of the Underclass
1401341136,SellBackYourBook,0.12,https://images-na.ssl-images-amazon.com/images/I/41XX%2B4MSyOL._SL300_.jpg,Cook Yourself Thin: Skinny Meals You Can Make in Minutes
1401341136,TextbookRush,0.1,https://images-na.ssl-images-amazon.com/images/I/41XX%2B4MSyOL._SL300_.jpg,Cook Yourself Thin: Skinny Meals You Can Make in Minutes
0195115015,Bookstores.com,2.55,https://images-na.ssl-images-amazon.com/images/I/41M-DKan9yL._SL300_.jpg,Becoming Attached: First Relationships and How They Shape Our Capacity to Love
0195115015,Textbooks.com,2.5,https://images-na.ssl-images-amazon.com/images/I/41M-DKan9yL._SL300_.jpg,Becoming Attached: First Relationships and How They Shape Our Capacity to Love
0195115015,Chegg,2.16,https://images-na.ssl-images-amazon.com/images/I/41M-DKan9yL._SL300_.jpg,Becoming Attached: First Relationships and How They Shape Our Capacity to Love
